id,mas_ifsc_number,mas_ifsccode_bank_id,mas_ifsc_code_micr
471,ALLA0210364,170,NA
472,ALLA0210365,170,141010003
473,ALLA0210366,170,464010201
474,ALLA0210367,170,802010504
475,ALLA0210368,170,NA
476,ALLA0210369,170,160010003
477,ALLA0210370,170,NA
478,ALLA0210371,170,400010015
479,ALLA0210372,170,124010053
480,ALLA0210373,170,793010002
481,ALLA0210374,170,625010002
482,ALLA0210375,170,461010001
483,ALLA0210376,170,483010002
484,ALLA0210377,170,380010010
485,ALLA0210378,170,851010378
486,ALLA0210379,170,NA
487,ALLA0210380,170,209010352
488,ALLA0210381,170,NA
489,ALLA0210382,170,271010163
490,ALLA0210383,170,NA
491,ALLA0210384,170,641010002
492,ALLA0210385,170,271010253
493,ALLA0210386,170,700010038
494,ALLA0210387,170,843010387
495,ALLA0210388,170,NA
496,ALLA0210389,170,NA
497,ALLA0210390,170,NA
498,ALLA0210391,170,520010001
499,ALLA0210392,170,110010029
500,ALLA0210393,170,110010040
501,ALLA0210394,170,110010024
502,ALLA0210395,170,110010022
503,ALLA0210396,170,110010052
504,ALLA0210397,170,110010032
505,ALLA0210398,170,WAITING
506,ALLA0210399,170,271010164
507,ALLA0210400,170,NA
508,ALLA0210401,170,NA
509,ALLA0210402,170,210010363
510,ALLA0210403,170,NA
511,ALLA0210404,170,NA
512,ALLA0210405,170,NA
513,ALLA0210406,170,700010016
514,ALLA0210407,170,600010003
515,ALLA0210408,170,NA
516,ALLA0210409,170,NA
517,ALLA0210410,170,722010002
518,ALLA0210411,170,110010008
519,ALLA0210412,170,110010046
520,ALLA0210413,170,110010017
521,ALLA0210414,170,834010010
522,ALLA0210415,170,530010001
523,ALLA0210416,170,462010008
524,ALLA0210417,170,271010165
525,ALLA0210418,170,144010006
526,ALLA0210419,170,700010117
527,ALLA0210420,170,142010002
528,ALLA0210421,170,813010502
529,ALLA0210422,170,700010037
530,ALLA0210423,170,700010021
531,ALLA0210424,170,271010071
532,ALLA0210425,170,322010002
533,ALLA0210426,170,226010008
534,ALLA0210427,170,814010608
535,ALLA0210428,170,825010002
536,ALLA0210429,170,816010603
537,ALLA0210430,170,NA
538,ALLA0210431,170,NA
539,ALLA0210433,170,143010004
540,ALLA0210434,170,144010402
541,ALLA0210435,170,NA
542,ALLA0210436,170,846010436
543,ALLA0210437,170,733010102
544,ALLA0210438,170,700010133
545,ALLA0210439,170,231010525
546,ALLA0210440,170,NA
547,ALLA0210441,170,NA
548,ALLA0210442,170,224010052
549,ALLA0210443,170,NA
550,ALLA0210444,170,NA
551,ALLA0210445,170,NA
552,ALLA0210446,170,NA
553,ALLA0210447,170,470010051
554,ALLA0210448,170,NA
555,ALLA0210449,170,231010512
556,ALLA0210450,170,572010002
557,ALLA0210451,170,NA
558,ALLA0210452,170,NA
559,ALLA0210453,170,NA
