id,mas_ifsc_number,mas_ifsc_bank_id,mas_ifsc_branch_id,mas_ifsc_code_micr,mas_ifsc_status_id,created_at,updated_at,error_reason
5663,ANDB0001903,171,5663,517011104,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5921,ANDB0002163,171,5921,509011724,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5938,ANDB0002180,171,5938,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5972,ANDB0002214,171,5972,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6020,ANDB0002262,171,6020,221011003,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6047,ANDB0002294,171,6047,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6052,ANDB0002299,171,6052,520011842,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6095,ANDB0002345,171,6095,502011704,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6113,ANDB0002363,171,6113,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6115,ANDB0002365,171,6115,600011066,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6132,ANDB0002383,171,6132,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6153,ANDB0002404,171,6153,767011506,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6158,ANDB0002410,171,6158,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6174,ANDB0002429,171,6174,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6175,ANDB0002430,171,6175,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6240,ANDB0002499,171,6240,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
6326,ANDB0002587,171,6326,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
7466,UTIB0001156,11,7466,600211035,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
7906,UTIB0001597,11,7906,515211202,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
7986,UTIB0001679,11,7986,465211151,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8059,UTIB0001752,11,8059,160211026,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8241,UTIB0001935,11,8241,370211101,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8307,UTIB0002002,11,8307,301211051,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8502,UTIB0002197,11,8502,208211008,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8653,UTIB0002348,11,8653,332211051,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8705,UTIB0002400,11,8705,134211998,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8788,UTIB0002483,11,8788,125211054,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8848,UTIB0002543,11,8848,247211000,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8869,UTIB0002564,11,8869,110211161,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8934,UTIB0002633,11,8934,443211102,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
8996,UTIB0002695,11,8996,620211011,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9032,UTIB0002767,11,9032,560211058,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9038,UTIB0002775,11,9038,400211148,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9048,UTIB0BCCB02,11,9048,370805052,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9049,UTIB0BCCB03,11,9049,370805501,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9058,UTIB0E00009,11,9058,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
